BowlingTeam,BattingTeam,Innings,Over,Bowler,Batter,Event,Over_Num,Phase,IsDot,IsExtra,EstimatedRuns,MatchDate,Venue
Nepal,Namibia,1,0.1,Sompal Kami,Lo-handre Louwrens,1 run,0,Powerplay,False,False,1,2023/02/18,Kirtipur
Nepal,Namibia,1,0.2,Sompal Kami,Karl Birkenstock,no run,0,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,0.3,Sompal Kami,Karl Birkenstock,no run,0,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,0.4,Sompal Kami,Karl Birkenstock,no run,0,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,0.5,Sompal Kami,Karl Birkenstock,no run,0,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,0.6,Sompal Kami,Karl Birkenstock,2 runs,0,Powerplay,False,False,2,2023/02/18,Kirtipur
Nepal,Namibia,1,1.1,Karan KC,Lo-handre Louwrens,no run,1,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,1.2,Karan KC,Lo-handre Louwrens,no run,1,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,1.3,Karan KC,Lo-handre Louwrens,FOUR runs,1,Powerplay,False,False,4,2023/02/18,Kirtipur
Nepal,Namibia,1,1.4,Karan KC,Lo-handre Louwrens,no run,1,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,1.5,Karan KC,Lo-handre Louwrens,no run,1,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,1.6,Karan KC,Lo-handre Louwrens,no run,1,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,2.1,Sompal Kami,Karl Birkenstock,no run,2,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,2.2,Sompal Kami,Karl Birkenstock,no run,2,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,2.3,Sompal Kami,Karl Birkenstock,no run,2,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,2.4,Sompal Kami,Karl Birkenstock,no run,2,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,2.5,Sompal Kami,Karl Birkenstock,no run,2,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,2.6,Sompal Kami,Karl Birkenstock,no run,2,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,3.1,Karan KC,Lo-handre Louwrens,FOUR runs,3,Powerplay,False,False,4,2023/02/18,Kirtipur
Nepal,Namibia,1,3.2,Karan KC,Lo-handre Louwrens,no run,3,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,3.3,Karan KC,Lo-handre Louwrens,no run,3,Powerplay,True,False,0,2023/02/18,Kirtipur
Nepal,Namibia,1,3.4,Karan KC,Lo-handre Louwrens,no run,3,Powerplay,True,False,0,2023/02/18,Kirtipur
