BowlingTeam,BattingTeam,Over,Bowler,Batter,Event,Over_Num,Phase,IsDot,IsExtra,EstimatedRuns,MatchDate,Venue
Nepal,Scotland,0.1,Dipendra Singh Airee,George Munsey,no run,0,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,0.2,Dipendra Singh Airee,George Munsey,FOUR runs,0,Powerplay,False,False,4,2022-12-04,Windhoek
Nepal,Scotland,0.3,Dipendra Singh Airee,George Munsey,2 runs,0,Powerplay,False,False,2,2022-12-04,Windhoek
Nepal,Scotland,0.4,Dipendra Singh Airee,George Munsey,1 run,0,Powerplay,False,False,1,2022-12-04,Windhoek
Nepal,Scotland,0.5,Dipendra Singh Airee,Christopher McBride,1 run,0,Powerplay,False,False,1,2022-12-04,Windhoek
Nepal,Scotland,0.6,Dipendra Singh Airee,George Munsey,no run,0,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,1.1,Karan KC,Christopher McBride,1 run,1,Powerplay,False,False,1,2022-12-04,Windhoek
Nepal,Scotland,1.2,Karan KC,George Munsey,no run,1,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,1.3,Karan KC,George Munsey,2 runs,1,Powerplay,False,False,2,2022-12-04,Windhoek
Nepal,Scotland,1.4,Karan KC,George Munsey,1 wide,1,Powerplay,False,True,0,2022-12-04,Windhoek
Nepal,Scotland,1.4,Karan KC,George Munsey,no run,1,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,1.5,Karan KC,George Munsey,no run,1,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,1.6,Karan KC,George Munsey,FOUR runs,1,Powerplay,False,False,4,2022-12-04,Windhoek
Nepal,Scotland,2.1,Sagar Dhakal,Christopher McBride,1 run,2,Powerplay,False,False,1,2022-12-04,Windhoek
Nepal,Scotland,2.2,Sagar Dhakal,George Munsey,no run,2,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,2.3,Sagar Dhakal,George Munsey,no run,2,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,2.4,Sagar Dhakal,George Munsey,FOUR runs,2,Powerplay,False,False,4,2022-12-04,Windhoek
Nepal,Scotland,2.5,Sagar Dhakal,George Munsey,no run,2,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,2.6,Sagar Dhakal,George Munsey,OUT,2,Powerplay,False,False,0,2022-12-04,Windhoek
Nepal,Scotland,3.1,Karan KC,Christopher McBride,no run,3,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,3.2,Karan KC,Christopher McBride,no run,3,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,3.3,Karan KC,Christopher McBride,no run,3,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,3.4,Karan KC,Christopher McBride,no run,3,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,3.5,Karan KC,Christopher McBride,no run,3,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,3.6,Karan KC,Christopher McBride,FOUR runs,3,Powerplay,False,False,4,2022-12-04,Windhoek
Nepal,Scotland,4.1,Sagar Dhakal,Kyle Coetzer,no run,4,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,4.2,Sagar Dhakal,Kyle Coetzer,no run,4,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,4.3,Sagar Dhakal,Kyle Coetzer,no run,4,Powerplay,True,False,0,2022-12-04,Windhoek
Nepal,Scotland,4.4,Sagar Dhakal,Kyle Coetzer,no run,4,Powerplay,True,False,0,2022-12-04,Windhoek
