Date,Opponent,Innings,Over,Ball,Bowler,Event,Runs,Where
6/24/25,Netherlands,1,1,1,Karan KC,.,0,Away
6/24/25,Netherlands,1,1,2,Karan KC,.,0,Away
6/24/25,Netherlands,1,1,3,Karan KC,1,1,Away
6/24/25,Netherlands,1,1,4,Karan KC,.,0,Away
6/24/25,Netherlands,1,1,5,Karan KC,.,0,Away
6/24/25,Netherlands,1,1,6,Karan KC,.,0,Away
6/24/25,Netherlands,1,2,1,Sompal Kami,W,0,Away
6/24/25,Netherlands,1,2,2,Sompal Kami,1,1,Away
6/24/25,Netherlands,1,2,3,Sompal Kami,4,4,Away
6/24/25,Netherlands,1,2,4,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,2,5,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,2,6,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,3,1,Karan KC,.,0,Away
6/24/25,Netherlands,1,3,2,Karan KC,.,0,Away
6/24/25,Netherlands,1,3,3,Karan KC,1,1,Away
6/24/25,Netherlands,1,3,4,Karan KC,2w,2,Away
6/24/25,Netherlands,1,3,5,Karan KC,.,0,Away
6/24/25,Netherlands,1,3,6,Karan KC,.,0,Away
6/24/25,Netherlands,1,3,7,Karan KC,1,1,Away
6/24/25,Netherlands,1,4,1,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,4,2,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,4,3,Sompal Kami,3,3,Away
6/24/25,Netherlands,1,4,4,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,4,5,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,4,6,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,5,1,Karan KC,1,1,Away
6/24/25,Netherlands,1,5,2,Karan KC,.,0,Away
6/24/25,Netherlands,1,5,3,Karan KC,1lb,1,Away
6/24/25,Netherlands,1,5,4,Karan KC,1,1,Away
6/24/25,Netherlands,1,5,5,Karan KC,W,0,Away
6/24/25,Netherlands,1,5,6,Karan KC,1,1,Away
6/24/25,Netherlands,1,6,1,Sompal Kami,1,1,Away
6/24/25,Netherlands,1,6,2,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,6,3,Sompal Kami,4,4,Away
6/24/25,Netherlands,1,6,4,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,6,5,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,6,6,Sompal Kami,1,1,Away
6/24/25,Netherlands,1,7,1,Karan KC,.,0,Away
6/24/25,Netherlands,1,7,2,Karan KC,.,0,Away
6/24/25,Netherlands,1,7,3,Karan KC,1,1,Away
6/24/25,Netherlands,1,7,4,Karan KC,1,1,Away
6/24/25,Netherlands,1,7,5,Karan KC,.,0,Away
6/24/25,Netherlands,1,7,6,Karan KC,.,0,Away
6/24/25,Netherlands,1,8,1,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,8,2,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,8,3,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,8,4,Sompal Kami,4,4,Away
6/24/25,Netherlands,1,8,5,Sompal Kami,1w,1,Away
6/24/25,Netherlands,1,8,5,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,8,6,Sompal Kami,.,0,Away
6/24/25,Netherlands,1,9,1,Karan KC,1,1,Away
6/24/25,Netherlands,1,9,2,Karan KC,4,4,Away
6/24/25,Netherlands,1,9,3,Karan KC,.,0,Away
6/24/25,Netherlands,1,9,4,Karan KC,.,0,Away
6/24/25,Netherlands,1,9,5,Karan KC,.,0,Away
6/24/25,Netherlands,1,9,6,Karan KC,.,0,Away
6/24/25,Netherlands,1,10,1,Aarif Sheikh,.,0,Away
6/24/25,Netherlands,1,10,2,Aarif Sheikh,.,0,Away
