Date,Opponent,Innings,Over,Ball,Bowler,Event,Runs,Where
9/16/24,Canada,1,1,1,Karan KC,.,0,Away
9/16/24,Canada,1,1,2,Karan KC,1,1,Away
9/16/24,Canada,1,1,3,Karan KC,.,0,Away
9/16/24,Canada,1,1,4,Karan KC,.,0,Away
9/16/24,Canada,1,1,5,Karan KC,.,0,Away
9/16/24,Canada,1,1,6,Karan KC,.,0,Away
9/16/24,Canada,1,2,1,Sompal Kami,.,0,Away
9/16/24,Canada,1,2,2,Sompal Kami,1w,1,Away
9/16/24,Canada,1,2,2,Sompal Kami,4,4,Away
9/16/24,Canada,1,2,3,Sompal Kami,.,0,Away
9/16/24,Canada,1,2,4,Sompal Kami,.,0,Away
9/16/24,Canada,1,2,5,Sompal Kami,.,0,Away
9/16/24,Canada,1,2,6,Sompal Kami,.,0,Away
9/16/24,Canada,1,3,1,Karan KC,.,0,Away
9/16/24,Canada,1,3,2,Karan KC,.,0,Away
9/16/24,Canada,1,3,3,Karan KC,.,0,Away
9/16/24,Canada,1,3,4,Karan KC,1,1,Away
9/16/24,Canada,1,3,5,Karan KC,.,0,Away
9/16/24,Canada,1,3,6,Karan KC,.,0,Away
9/16/24,Canada,1,4,1,Sompal Kami,.,0,Away
9/16/24,Canada,1,4,2,Sompal Kami,.,0,Away
9/16/24,Canada,1,4,3,Sompal Kami,.,0,Away
9/16/24,Canada,1,4,4,Sompal Kami,.,0,Away
9/16/24,Canada,1,4,5,Sompal Kami,.,0,Away
9/16/24,Canada,1,4,6,Sompal Kami,1,1,Away
9/16/24,Canada,1,5,1,Karan KC,.,0,Away
9/16/24,Canada,1,5,2,Karan KC,.,0,Away
9/16/24,Canada,1,5,3,Karan KC,.,0,Away
9/16/24,Canada,1,5,4,Karan KC,.,0,Away
9/16/24,Canada,1,5,5,Karan KC,.,0,Away
9/16/24,Canada,1,5,6,Karan KC,.,0,Away
9/16/24,Canada,1,6,1,Sompal Kami,.,0,Away
